terminal time is 40
initial theta is:  [-1.5  0.   0.   0.1  0.2]
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-1.62794225 -0.05146725  0.48383153  0.3381702   0.2       ]
iteration 3: [-1.2113561   0.03262014 -0.16261246 -0.12806182  0.2       ]
iteration 4: [-1.19666729  0.01224423  0.20671093 -0.25218645  0.2       ]
iteration 5: [-0.50394953  0.05198627 -0.01604002 -1.13037341  0.2       ]
iteration 6: [-0.58260807  0.03110423  0.6731332  -1.07612772  0.2       ]
iteration 7: [-0.45303481  0.02321452  0.70082279 -1.31754989  0.2       ]
iteration 243: [  1.6404878    0.1356327   13.55718352 -10.60227222   0.2       ]
iteration 244: [  1.6380905    0.13597535  13.55777324 -10.60866922   0.2       ]
iteration 245: [  1.6306684    0.13702829  13.55661743 -10.60866727   0.2       ]
iteration 246: [  1.62342792   0.1381993   13.56623018 -10.60607236   0.2       ]
iteration 247: [  1.61900627   0.13813634  13.60643117 -10.61119011   0.2       ]
iteration 248: [  1.61494243   0.13869619  13.59165256 -10.61733783   0.2       ]
iteration 249: [  1.61240662   0.13899542  13.60979319 -10.60953842   0.2       ]
iteration 250: [  1.60795593   0.13956545  13.60150968 -10.61788726   0.2       ]
iteration 251: [  1.61107473   0.14034785  13.60390412 -10.62078039   0.2       ]
iteration 252: [  1.60326459   0.14096557  13.60665638 -10.634165     0.2       ]
iteration 253: [  1.59785456   0.14148947  13.60028175 -10.63828477   0.2       ]
iteration 254: [  1.59713421   0.14182053  13.6122064  -10.65042701   0.2       ]
iteration 255: [  1.59091618   0.14297279  13.57543381 -10.65664868   0.2       ]
iteration 256: [  1.58301962   0.14354853  13.55835365 -10.65816879   0.2       ]
iteration 257: [  1.57910549   0.14400214  13.56417107 -10.65865108   0.2       ]
iteration 258: [  1.57542252   0.14350087  13.59006679 -10.66980188   0.2       ]
iteration 259: [  1.56532026   0.14382419  13.58148981 -10.66809305   0.2       ]
iteration 260: [  1.56541331   0.1448695   13.60256957 -10.66776234   0.2       ]
iteration 261: [  1.56379632   0.14499437  13.60398665 -10.67454062   0.2       ]
iteration 262: [  1.55740655   0.14536484  13.63040752 -10.68055436   0.2       ]
iteration 263: [  1.55294249   0.14622294  13.60643828 -10.68064352   0.2       ]
iteration 264: [  1.55007489   0.14660464  13.60558066 -10.68201998   0.2       ]
iteration 265: [  1.54787229   0.14704857  13.60201907 -10.69072616   0.2       ]
iteration 266: [  1.53427032   0.14835481  13.58342169 -10.69103188   0.2       ]
iteration 267: [  1.52265376   0.14909526  13.57129315 -10.70124939   0.2       ]
iteration 268: [  1.52198727   0.14953043  13.56412757 -10.70311434   0.2       ]
iteration 269: [  1.50695343   0.1496293   13.55936035 -10.70619112   0.2       ]
iteration 270: [  1.49657285   0.15035978  13.54050138 -10.70834126   0.2       ]
iteration 271: [  1.49044393   0.15095739  13.51795733 -10.7164651    0.2       ]
iteration 272: [  1.48346046   0.15203004  13.51665248 -10.71707086   0.2       ]
iteration 273: [  1.48170843   0.15195881  13.51119877 -10.72487208   0.2       ]
iteration 274: [  1.47825827   0.15180045  13.52112023 -10.72027796   0.2       ]
iteration 275: [  1.4730331    0.15233714  13.51705763 -10.72193534   0.2       ]
iteration 276: [  1.46278913   0.15258784  13.53195804 -10.71691255   0.2       ]
