snaptimes are [ 0 10 15 20 40]
initial theta is:  [-1.09639492  0.17766198 -0.19591798  0.57649007  0.2       ]
Nx test is: 1000
Nx observed are: [1000, 1000, 1000, 1000, 1000]
Alpha is : 1
iteration 257: [ -0.04303023   0.50781739  24.80654933   5.83299796   0.2       ]
iteration 258: [ -0.03518088   0.50854782  24.7833153    5.85317681   0.2       ]
iteration 259: [ -0.05037391   0.50873746  24.77383099   5.83312767   0.2       ]
iteration 260: [ -0.034704     0.50720369  24.81095401   5.83466767   0.2       ]
iteration 261: [ -0.04730595   0.50814027  24.86564953   5.85425645   0.2       ]
iteration 262: [ -0.05319975   0.50856353  24.7988699    5.86936466   0.2       ]
iteration 263: [ -0.06032025   0.50646372  24.83098306   5.89495091   0.2       ]
iteration 264: [ -0.05125372   0.50761944  24.77266932   5.87464951   0.2       ]
iteration 265: [ -0.03975716   0.5065791   24.82550399   5.87540779   0.2       ]
iteration 266: [ -0.03060236   0.50748427  24.90262936   5.87470102   0.2       ]
iteration 267: [ -8.70253834e-03   5.05242311e-01   2.48981344e+01   5.87073066e+00
   2.00000000e-01]
iteration 268: [ -7.13535148e-03   5.03505243e-01   2.49926064e+01   5.86462215e+00
   2.00000000e-01]
iteration 269: [ -1.24137705e-02   5.05292082e-01   2.49575282e+01   5.84938793e+00
   2.00000000e-01]
iteration 270: [ -0.02760076   0.50366372  24.98453415   5.84683927   0.2       ]
iteration 271: [ -2.08751151e-02   5.03051066e-01   2.51079404e+01   5.84270190e+00
   2.00000000e-01]
iteration 272: [ -9.84399306e-03   5.03822891e-01   2.49739519e+01   5.82767602e+00
   2.00000000e-01]
iteration 273: [ -1.27216417e-02   5.05907761e-01   2.49031829e+01   5.80883236e+00
   2.00000000e-01]
iteration 274: [ -0.02499344   0.50620777  24.80231094   5.78864992   0.2       ]
iteration 275: [ -0.02960554   0.50478783  24.75853144   5.80487122   0.2       ]
iteration 276: [ -0.0337805    0.50398719  24.85546755   5.83665302   0.2       ]
iteration 277: [ -0.05014106   0.50391182  24.89783084   5.82390341   0.2       ]
iteration 278: [ -0.04692968   0.50485808  24.73152967   5.81624482   0.2       ]
iteration 279: [ -0.04657107   0.50596809  24.77296094   5.8067388    0.2       ]
iteration 280: [ -0.06132819   0.50365208  24.80463147   5.82111921   0.2       ]
iteration 281: [ -0.05965012   0.50351486  24.76147762   5.81838544   0.2       ]
iteration 282: [ -0.05389417   0.50556917  24.72878728   5.82763385   0.2       ]
iteration 283: [ -0.05571119   0.50630057  24.83730901   5.86276432   0.2       ]
iteration 284: [ -0.05583576   0.50634404  24.79249451   5.87198016   0.2       ]
iteration 285: [ -0.04304035   0.50888009  24.64541232   5.85465129   0.2       ]
iteration 286: [ -0.03905283   0.51166973  24.50574658   5.86110438   0.2       ]
iteration 287: [ -0.04211399   0.51200227  24.46611167   5.83262354   0.2       ]
iteration 288: [ -0.04873463   0.51239405  24.53608412   5.84445631   0.2       ]
iteration 289: [ -0.02649439   0.51086684  24.63418441   5.84164604   0.2       ]
iteration 290: [ -0.03299804   0.50892164  24.63885348   5.84804654   0.2       ]
iteration 291: [ -1.83951694e-02   5.08905870e-01   2.46728404e+01   5.85289618e+00
   2.00000000e-01]
iteration 292: [ -5.62610105e-03   5.06881147e-01   2.47379745e+01   5.85807318e+00
   2.00000000e-01]
iteration 293: [ -5.43482083e-03   5.06313839e-01   2.47307420e+01   5.84821918e+00
   2.00000000e-01]
iteration 294: [ -9.82540289e-04   5.03896159e-01   2.48032534e+01   5.85867042e+00
   2.00000000e-01]
iteration 295: [ -1.02992426e-02   5.03929338e-01   2.48551427e+01   5.86280635e+00
   2.00000000e-01]
iteration 296: [ -5.17761154e-03   5.05163961e-01   2.48555472e+01   5.87037346e+00
   2.00000000e-01]
iteration 297: [ -7.83662877e-03   5.06952993e-01   2.47767408e+01   5.87605860e+00
   2.00000000e-01]
iteration 298: [ -5.72527346e-03   5.05878667e-01   2.47878317e+01   5.87621596e+00
   2.00000000e-01]
iteration 299: [ -3.88212186e-03   5.07114706e-01   2.47970751e+01   5.86928243e+00
   2.00000000e-01]
iteration 300: [ -0.02834027   0.50662959  24.88715572   5.85960836   0.2       ]
iteration 301: [ -0.04845919   0.50612922  24.86670274   5.87007043   0.2       ]
iteration 302: [ -0.03656298   0.50641578  24.79845453   5.85710337   0.2       ]
iteration 303: [ -0.0428795    0.5068185   24.77440773   5.85593873   0.2       ]
iteration 304: [ -0.04308031   0.50611651  24.70035213   5.84522075   0.2       ]
iteration 305: [ -0.03360567   0.50730273  24.7347223    5.84444725   0.2       ]
iteration 306: [ -0.02499581   0.50565505  24.74252371   5.851067     0.2       ]
iteration 307: [ -2.39309931e-02   5.05076076e-01   2.47793443e+01   5.85264121e+00
   2.00000000e-01]
iteration 308: [ -0.03001154   0.50526099  24.71867073   5.87994565   0.2       ]
iteration 309: [ -2.24436332e-02   5.04625088e-01   2.49039689e+01   5.87958893e+00
   2.00000000e-01]
iteration 310: [ -2.28468404e-02   5.03697449e-01   2.49367272e+01   5.86300215e+00
   2.00000000e-01]
iteration 311: [ -0.02582895   0.50506498  24.90977549   5.86717177   0.2       ]
iteration 312: [ -2.38753891e-02   5.05588913e-01   2.50003065e+01   5.89058793e+00
   2.00000000e-01]
iteration 313: [ -0.02598525   0.50428572  25.1237622    5.90115368   0.2       ]
iteration 314: [  7.08448377e-04   5.06934146e-01   2.50783346e+01   5.88937819e+00
   2.00000000e-01]
iteration 315: [  1.76948001e-03   5.06112694e-01   2.50454924e+01   5.87067778e+00
   2.00000000e-01]
iteration 316: [ -1.08515410e-02   5.04564187e-01   2.50307629e+01   5.85933924e+00
   2.00000000e-01]
iteration 317: [ -1.19294313e-02   5.04415169e-01   2.50809009e+01   5.84519560e+00
   2.00000000e-01]
iteration 318: [ -8.15575939e-03   5.03720557e-01   2.50548330e+01   5.83281244e+00
   2.00000000e-01]
iteration 319: [  3.60306492e-05   5.05503899e-01   2.50498904e+01   5.82546211e+00
   2.00000000e-01]
iteration 320: [ -1.11119039e-02   5.03902799e-01   2.52025877e+01   5.81543076e+00
   2.00000000e-01]
iteration 321: [ -1.92332916e-02   5.03957521e-01   2.51411087e+01   5.79857747e+00
   2.00000000e-01]
iteration 322: [ -0.04060269   0.50203652  25.22275626   5.8168277    0.2       ]
iteration 323: [ -0.03055075   0.50197862  25.19199708   5.82204736   0.2       ]
iteration 324: [ -0.05263788   0.50201877  25.19932143   5.82608595   0.2       ]
iteration 325: [ -0.0265005    0.50162879  25.17771078   5.80936697   0.2       ]
iteration 326: [ -0.02641081   0.50123011  25.13770399   5.80817408   0.2       ]
iteration 327: [ -2.48946135e-02   5.01378053e-01   2.51415938e+01   5.78960511e+00
