terminal time is 12
initial theta is:  [-1.5  0.   0.   0.1  0.2]
Nx test is: 20000
Nx observed is: 1000
Alpha is : 0.1
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-2.35123598 -0.08322877 -0.3460094   1.16464074  0.2       ]
iteration 225: [ -5.1120673   -0.50847225 -24.04945216   7.60669774   0.2       ]
iteration 226: [ -5.10016946  -0.50699097 -24.12572414   7.60316359   0.2       ]
iteration 227: [ -5.07645006  -0.50539824 -24.12839893   7.58462795   0.2       ]
iteration 228: [ -5.06845636  -0.50434079 -24.18863438   7.5819744    0.2       ]
iteration 229: [ -5.06000905  -0.50205967 -24.22642728   7.57811065   0.2       ]
iteration 230: [ -5.04228889  -0.49920102 -24.2709902    7.57196396   0.2       ]
iteration 231: [ -5.02784686  -0.49702552 -24.37816725   7.56419789   0.2       ]
iteration 232: [ -5.00801344  -0.49514657 -24.38158653   7.54681998   0.2       ]
iteration 233: [ -4.99652028  -0.49354352 -24.44366844   7.53288462   0.2       ]
iteration 234: [ -4.96987945  -0.49194711 -24.45339847   7.50451056   0.2       ]
iteration 235: [ -4.96804702  -0.49036393 -24.48738091   7.48166672   0.2       ]
iteration 236: [ -4.95661112  -0.48913951 -24.5574313    7.46196412   0.2       ]
iteration 237: [ -4.94166527  -0.4865931  -24.65108938   7.44715171   0.2       ]
iteration 238: [ -4.92108106  -0.48448352 -24.7429111    7.45314087   0.2       ]
iteration 239: [ -4.91870075  -0.48267873 -24.78742749   7.44257377   0.2       ]
iteration 240: [ -4.91645478  -0.48067052 -24.85468154   7.44566945   0.2       ]
iteration 241: [ -4.89779309  -0.4786811  -24.90889258   7.43916427   0.2       ]
iteration 242: [ -4.87742646  -0.47757956 -24.96249206   7.42637524   0.2       ]
iteration 243: [ -4.86713156  -0.47595236 -25.02467246   7.42802176   0.2       ]
iteration 244: [ -4.84920159  -0.47433119 -25.09444481   7.4217483    0.2       ]
iteration 245: [ -4.84085304  -0.47119642 -25.19790034   7.40705603   0.2       ]
iteration 246: [ -4.82504643  -0.46862155 -25.28642344   7.39205241   0.2       ]
iteration 247: [ -4.81307486  -0.4675651  -25.29378272   7.38120461   0.2       ]
iteration 248: [ -4.80598755  -0.46608359 -25.3682954    7.35518842   0.2       ]
iteration 249: [ -4.78792828  -0.4630586  -25.42561937   7.35269336   0.2       ]
iteration 250: [ -4.77231386  -0.46125694 -25.52918538   7.34231244   0.2       ]
iteration 251: [ -4.7498638   -0.46001475 -25.55920391   7.34240078   0.2       ]
iteration 252: [ -4.7404471   -0.45974382 -25.59168905   7.3375391    0.2       ]
iteration 253: [ -4.73100868  -0.4574908  -25.6633179    7.32296443   0.2       ]
iteration 254: [ -4.7160041   -0.45578054 -25.70462709   7.30825197   0.2       ]
iteration 255: [ -4.70651536  -0.45420373 -25.73997349   7.29476186   0.2       ]
iteration 256: [ -4.69194298  -0.45318829 -25.78569294   7.2937059    0.2       ]
iteration 257: [ -4.67886534  -0.45086479 -25.85125225   7.27606535   0.2       ]
iteration 258: [ -4.67014722  -0.44869744 -25.9172281    7.27679484   0.2       ]
iteration 259: [ -4.66370671  -0.44773573 -25.96014319   7.25862578   0.2       ]
iteration 260: [ -4.6521603   -0.44678084 -25.99046211   7.23864591   0.2       ]
iteration 261: [ -4.65703711  -0.44628315 -26.02330981   7.22623387   0.2       ]
iteration 262: [ -4.65431801  -0.44544123 -26.07244103   7.20769295   0.2       ]
iteration 263: [ -4.64095469  -0.44416659 -26.10444779   7.20101472   0.2       ]
iteration 264: [ -4.61931551  -0.44339375 -26.14311639   7.19444002   0.2       ]
iteration 265: [ -4.61098753  -0.44210202 -26.172656     7.17896617   0.2       ]
iteration 266: [ -4.60477599  -0.44039434 -26.2371726    7.17273609   0.2       ]
iteration 267: [ -4.59514903  -0.43919158 -26.28168627   7.16224076   0.2       ]
iteration 268: [ -4.57849131  -0.43724397 -26.32781132   7.16459212   0.2       ]
iteration 269: [ -4.57568669  -0.43667631 -26.36517647   7.16298739   0.2       ]
iteration 270: [ -4.56783703  -0.43610034 -26.37470918   7.14868852   0.2       ]
iteration 271: [ -4.57556289  -0.43422464 -26.42936456   7.12140568   0.2       ]
iteration 272: [ -4.55991223  -0.43290309 -26.42929293   7.12117265   0.2       ]
