terminal time is 12
initial theta is:  [-1.5  0.   0.   0.1  0.2]
Nx test is: 20000
Nx observed is: 1000
Alpha is : 0.01
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-2.42289418 -0.09077673 -0.37778315  1.25510463  0.2       ]
iteration 175: [ -4.96222223  -0.54085837 -22.85669861   7.64746381   0.2       ]
iteration 176: [ -4.93564854  -0.53945239 -22.84891654   7.61636831   0.2       ]
iteration 177: [ -4.9170563   -0.5377168  -22.92152471   7.61968816   0.2       ]
iteration 178: [ -4.90202082  -0.53807189 -22.93096065   7.62523624   0.2       ]
iteration 179: [ -4.89025713  -0.53631781 -22.98812665   7.60675144   0.2       ]
iteration 180: [ -4.86928415  -0.53356675 -23.01417274   7.58261483   0.2       ]
iteration 181: [ -4.86336552  -0.53367946 -22.99316444   7.60032191   0.2       ]
iteration 182: [ -4.85529509  -0.5330733  -23.02465715   7.60611327   0.2       ]
iteration 183: [ -4.84661165  -0.53212098 -23.06839856   7.59901379   0.2       ]
iteration 184: [ -4.83483825  -0.53029554 -23.11404195   7.59609568   0.2       ]
iteration 185: [ -4.81648324  -0.52854146 -23.17707339   7.57497865   0.2       ]
iteration 186: [ -4.80584242  -0.52695459 -23.24279233   7.54981805   0.2       ]
iteration 187: [ -4.78008253  -0.52429012 -23.30536243   7.52659933   0.2       ]
iteration 188: [ -4.76451112  -0.52243109 -23.41811181   7.53133432   0.2       ]
iteration 189: [ -4.74032068  -0.52127286 -23.43512713   7.52096918   0.2       ]
iteration 190: [ -4.72540619  -0.51932047 -23.51681097   7.49519997   0.2       ]
iteration 191: [ -4.71979021  -0.51781802 -23.57266966   7.49323071   0.2       ]
iteration 192: [ -4.71526485  -0.51721096 -23.62958672   7.47199255   0.2       ]
iteration 193: [ -4.70164186  -0.51564086 -23.71884497   7.4447781    0.2       ]
iteration 194: [ -4.68567008  -0.51435247 -23.7702088    7.41690635   0.2       ]
iteration 195: [ -4.66366921  -0.51210545 -23.82612039   7.40453094   0.2       ]
iteration 196: [ -4.65996037  -0.51125392 -23.86373879   7.39663991   0.2       ]
iteration 197: [ -4.64959738  -0.50879191 -23.96861136   7.38437739   0.2       ]
iteration 198: [ -4.65404122  -0.50688281 -24.02072905   7.38352404   0.2       ]
iteration 199: [ -4.6347477   -0.5047792  -24.04668348   7.37794062   0.2       ]
iteration 200: [ -4.61727453  -0.50165457 -24.14621829   7.36174993   0.2       ]
iteration 201: [ -4.59817665  -0.4989009  -24.24915098   7.35045791   0.2       ]
iteration 202: [ -4.58606648  -0.49671614 -24.29878973   7.33908427   0.2       ]
iteration 203: [ -4.56716992  -0.49405372 -24.40361962   7.30343534   0.2       ]
iteration 204: [ -4.55089961  -0.49129917 -24.55706313   7.28499661   0.2       ]
iteration 205: [ -4.53555125  -0.48982502 -24.61201764   7.27701898   0.2       ]
iteration 206: [ -4.51406078  -0.48798769 -24.69224556   7.28161407   0.2       ]
iteration 207: [ -4.49696778  -0.48687724 -24.70992851   7.27111763   0.2       ]
iteration 208: [ -4.47474048  -0.48398568 -24.80252654   7.24904134   0.2       ]
iteration 209: [ -4.46655095  -0.48339105 -24.84371529   7.25240757   0.2       ]
iteration 210: [ -4.45191055  -0.4820493  -24.87642617   7.24403319   0.2       ]
iteration 211: [ -4.43322314  -0.4802969  -24.98492749   7.21969088   0.2       ]
iteration 212: [ -4.40712362  -0.47741847 -25.07351891   7.21752255   0.2       ]
iteration 213: [ -4.37818375  -0.4762709  -25.0909103    7.20753827   0.2       ]
iteration 214: [ -4.37409801  -0.47478058 -25.12976376   7.20366246   0.2       ]
iteration 215: [ -4.36564327  -0.47258373 -25.21276015   7.19766093   0.2       ]
iteration 216: [ -4.35599889  -0.47128716 -25.28552624   7.18326544   0.2       ]
iteration 217: [ -4.33591474  -0.46984516 -25.31573919   7.18127347   0.2       ]
iteration 218: [ -4.3221759   -0.4692782  -25.3071825    7.17012439   0.2       ]
iteration 219: [ -4.31274268  -0.46805372 -25.34639365   7.16342263   0.2       ]
iteration 220: [ -4.29039023  -0.4669896  -25.39518723   7.15072443   0.2       ]
iteration 221: [ -4.28547347  -0.46519506 -25.42363259   7.1511633    0.2       ]
iteration 222: [ -4.27961446  -0.46367927 -25.44016843   7.16043136   0.2       ]
iteration 223: [ -4.26453016  -0.46329693 -25.45160632   7.15053858   0.2       ]
iteration 224: [ -4.25012316  -0.4623665  -25.46902614   7.13018402   0.2       ]
iteration 225: [ -4.2391899   -0.46100976 -25.52961569   7.11385801   0.2       ]
iteration 226: [ -4.22567269  -0.45924376 -25.57866083   7.1122945    0.2       ]
iteration 227: [ -4.20104596  -0.45698474 -25.59996971   7.09810735   0.2       ]
iteration 228: [ -4.18823009  -0.45529953 -25.64706146   7.09392426   0.2       ]
iteration 229: [ -4.17747184  -0.45347544 -25.71027888   7.09243777   0.2       ]
iteration 230: [ -4.15799481  -0.45076928 -25.7676866    7.07838068   0.2       ]
iteration 231: [ -4.14332056  -0.44888712 -25.85119862   7.08425546   0.2       ]
iteration 232: [ -4.12339112  -0.44761967 -25.86834253   7.07850106   0.2       ]
iteration 233: [ -4.11314009  -0.44626292 -25.89330992   7.06607436   0.2       ]
iteration 234: [ -4.09354404  -0.44494033 -25.90137879   7.04047296   0.2       ]
iteration 235: [ -4.08934942  -0.44370296 -25.93450515   7.03193289   0.2       ]
iteration 236: [ -4.08105452  -0.44289199 -25.99719972   7.02902889   0.2       ]
iteration 237: [ -4.06372656  -0.44034921 -26.03438333   7.01924717   0.2       ]
iteration 238: [ -4.0401594   -0.43834591 -26.07725753   7.01626261   0.2       ]
iteration 239: [ -4.03790661  -0.43692864 -26.04535234   7.01237391   0.2       ]
iteration 240: [ -4.03370575  -0.43505463 -26.09523044   6.99714909   0.2       ]
iteration 241: [ -4.01573665  -0.43281005 -26.10949114   6.98587284   0.2       ]
iteration 242: [ -3.99873103  -0.43168484 -26.14461567   6.97374066   0.2       ]
iteration 243: [ -3.9867533   -0.43046548 -26.16254538   6.97806263   0.2       ]
iteration 244: [ -3.96586966  -0.42944364 -26.23366697   6.96465596   0.2       ]
iteration 245: [ -3.96040009  -0.42719325 -26.29014431   6.94742725   0.2       ]
iteration 246: [ -3.94784596  -0.42500376 -26.35673871   6.93705589   0.2       ]
iteration 247: [ -3.93872947  -0.42440946 -26.39763047   6.94358442   0.2       ]
iteration 248: [ -3.93216799  -0.42403807 -26.43085415   6.92152398   0.2       ]
iteration 249: [ -3.91885258  -0.42071292 -26.49630479   6.91869843   0.2       ]
iteration 250: [ -3.90801546  -0.41934254 -26.56192253   6.91691723   0.2       ]
iteration 251: [ -3.88522817  -0.41786338 -26.61737155   6.90629565   0.2       ]
iteration 252: [ -3.87645786  -0.41777768 -26.58401852   6.90470641   0.2       ]
iteration 253: [ -3.87062496  -0.41714154 -26.66307675   6.89676632   0.2       ]
iteration 254: [ -3.85853726  -0.41592002 -26.69863236   6.89488967   0.2       ]
iteration 255: [ -3.85009205  -0.41492681 -26.73380074   6.88641636   0.2       ]
iteration 256: [ -3.83962264  -0.41392711 -26.7635725    6.88714002   0.2       ]
iteration 257: [ -3.82662363  -0.4117537  -26.80029715   6.88313042   0.2       ]
iteration 258: [ -3.81371336  -0.40952828 -26.82841847   6.87829035   0.2       ]
iteration 259: [ -3.81013709  -0.4090866  -26.86167501   6.86528246   0.2       ]
iteration 260: [ -3.80138481  -0.40882847 -26.86865587   6.85678979   0.2       ]
iteration 261: [ -3.80326026  -0.4074621  -26.93334167   6.84752669   0.2       ]
iteration 262: [ -3.79500194  -0.40686853 -26.9649335    6.83407346   0.2       ]
iteration 263: [ -3.78296672  -0.40577296 -26.97720288   6.82445295   0.2       ]
iteration 264: [ -3.76439524  -0.4059085  -26.97068237   6.82180661   0.2       ]
iteration 265: [ -3.7559246   -0.40627939 -26.97733972   6.8079456    0.2       ]
iteration 266: [ -3.74871499  -0.40486859 -26.99401775   6.80643236   0.2       ]
iteration 267: [ -3.74353074  -0.40495382 -26.98056382   6.78815697   0.2       ]
iteration 268: [ -3.72781728  -0.40325701 -27.03400765   6.79058444   0.2       ]
iteration 269: [ -3.72383028  -0.40224818 -27.03468924   6.7889403    0.2       ]
iteration 270: [ -3.71606707  -0.40141747 -27.00878799   6.7898704    0.2       ]
iteration 271: [ -3.72231824  -0.40038066 -27.00399444   6.77255078   0.2       ]
iteration 272: [ -3.71431984  -0.3997861  -27.02525448   6.77531557   0.2       ]
iteration 273: [ -3.68560128  -0.39851926 -27.08229805   6.7684454    0.2       ]
iteration 274: [ -3.67296858  -0.39827212 -27.07257938   6.76191926   0.2       ]
iteration 275: [ -3.65926082  -0.39700348 -27.10143264   6.76969817   0.2       ]
iteration 276: [ -3.65415995  -0.39629959 -27.11921489   6.74415128   0.2       ]
iteration 277: [ -3.65409148  -0.3952498  -27.11518962   6.73824827   0.2       ]
iteration 278: [ -3.64645289  -0.39457865 -27.15229218   6.7421788    0.2       ]
iteration 279: [ -3.63909302  -0.39411259 -27.2062082    6.74832701   0.2       ]
iteration 280: [ -3.62742066  -0.39321106 -27.18528084   6.73778313   0.2       ]
iteration 281: [ -3.61866264  -0.39207963 -27.21181785   6.72808542   0.2       ]
iteration 282: [ -3.60933442  -0.3918806  -27.18467119   6.72725337   0.2       ]
iteration 283: [ -3.58833138  -0.38993186 -27.21138186   6.70985967   0.2       ]
iteration 284: [ -3.57014881  -0.38897254 -27.27055377   6.70344709   0.2       ]
iteration 285: [ -3.56188191  -0.38833152 -27.26779914   6.70648722   0.2       ]
iteration 286: [ -3.56410126  -0.38816301 -27.33733503   6.7077012    0.2       ]
iteration 287: [ -3.56208113  -0.38756756 -27.36897525   6.70668945   0.2       ]
iteration 288: [ -3.54020281  -0.38667    -27.42422762   6.68603838   0.2       ]
iteration 289: [ -3.53882427  -0.3864645  -27.46740981   6.68308464   0.2       ]
iteration 290: [ -3.52982988  -0.38614005 -27.54148475   6.67966337   0.2       ]
iteration 291: [ -3.5000389   -0.3839455  -27.55886293   6.66539431   0.2       ]
iteration 292: [ -3.48454277  -0.38259943 -27.50632251   6.64805524   0.2       ]
iteration 293: [ -3.47452332  -0.38240714 -27.48790106   6.63612769   0.2       ]
iteration 294: [ -3.4552378   -0.38251791 -27.51879987   6.63129465   0.2       ]
iteration 295: [ -3.43404228  -0.38171174 -27.47105587   6.63105124   0.2       ]
